experiment,run_name,sampler,elapsed_sec,budget_per_sample,total_reward_evals,forward_passes,fp_per_sample,validity,uniqueness,qed_mean,qed_top10,qed_max,num_samples,beam_width,branching_factor,steps_per_interval,elite_buffer_size,diversity_penalty,diversity_cutoff,c_uct,rollout_budget_per_sample,softmax_temp,randomness,min_add_len,seed,reward_type,reward_alpha
hp_sweep,beam_B100_N5_L8_t05,beam_search,124.49729681015015,104.0,5200,145600,2912.0,1.0,1.0,0.8064478076425259,0.9437223609375411,0.9437223609375412,50,5,8,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L8_t08,beam_search,101.14724206924438,96.0,4800,120000,2400.0,1.0,1.0,0.809698779521408,0.9462012253972711,0.9466786472143096,50,5,8,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L2_t05,beam_search,128.73951268196106,106.0,5300,143100,2862.0,1.0,1.0,0.9054595288154352,0.9469216279306361,0.947893550795942,50,10,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L2_t08,beam_search,773.6469776630402,118.0,5900,177000,3540.0,1.0,1.0,0.9218381733773836,0.9473532974736172,0.9481556770739474,50,10,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L4_t05,beam_search,865.8747751712799,216.0,10800,297000,5940.0,1.0,1.0,0.9422443952054154,0.9474668073640558,0.9479230456305644,50,10,4,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L4_t08,beam_search,229.7088873386383,216.0,10800,297000,5940.0,1.0,1.0,0.7951477557488955,0.9479230456305643,0.9479230456305644,50,10,4,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L8_t05,beam_search,120.11788392066956,160.0,8000,168000,3360.0,0.6,1.0,0.8655942787522355,0.9480344141489615,0.9480344141489615,50,10,8,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L8_t08,beam_search,153.39604449272156,184.0,9200,211600,4232.0,1.0,1.0,0.9117320048391953,0.9477732377977561,0.9478653146576197,50,10,8,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L2_t05,beam_search,104.57230138778687,108.0,5400,124200,2484.0,0.76,1.0,0.6234555719771472,0.9467699037942389,0.946769903794239,50,20,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L2_t08,beam_search,106.81214213371277,110.4,5520,129720,2594.4,1.0,1.0,0.8717178222703171,0.9453507154095565,0.9465690164457922,50,20,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L4_t05,beam_search,180.0106143951416,206.4,10320,227040,4540.8,0.34,1.0,0.7487569895419718,0.9479230456305644,0.9479230456305644,50,20,4,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L4_t08,beam_search,138.8817834854126,192.0,9600,196800,3936.0,0.66,1.0,0.9196503072957342,0.9479405052469484,0.9480344141489615,50,20,4,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L8_t05,beam_search,175.36365509033203,211.2,10560,232320,4646.4,0.5,1.0,0.8265598837447412,0.9477931121106975,0.9478423903256857,50,20,8,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L8_t08,beam_search,547.0193016529083,201.6,10080,221760,4435.2,0.54,1.0,0.9055869531479599,0.9481314778818963,0.948228541614831,50,20,8,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N50_L2_t05,beam_search,101.33334875106812,100.0,5000,127500,2550.0,0.52,1.0,0.8365794220654073,0.919785673140541,0.9215063716763385,50,50,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N50_L2_t08,beam_search,593.4268753528595,126.0,6300,201600,4032.0,0.42,1.0,0.9256372882916205,0.9309414312274816,0.9309414312274816,50,50,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N50_L4_t05,beam_search,367.5986559391022,160.0,8000,164000,3280.0,0.18,1.0,0.724256167690884,0.7607759678912092,0.7607759678912092,50,50,4,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N50_L4_t08,beam_search,276.4393665790558,276.0,13800,483000,9660.0,0.2,1.0,0.9474650456722447,0.9477962897392284,0.9477962897392284,50,50,4,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N50_L8_t05,beam_search,261.1451926231384,272.0,13600,476000,9520.0,0.14,1.0,0.9474453105383844,0.9480980627702048,0.9480980627702048,50,50,8,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N50_L8_t08,beam_search,104.07256150245667,160.0,8000,168000,3360.0,0.52,1.0,0.9473609461857297,0.9480344141489615,0.9480344141489615,50,50,8,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N5_L2_t05,beam_search,111.24962496757507,90.0,4500,103500,2070.0,1.0,1.0,0.8186319796964302,0.9433154850774208,0.9479230456305644,50,5,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N5_L2_t08,beam_search,117.19274806976318,92.0,4600,108100,2162.0,1.0,1.0,0.7908023628850863,0.8407585942002977,0.8636003989045693,50,5,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N5_L4_t05,beam_search,195.4754822254181,184.0,9200,216200,4324.0,1.0,1.0,0.7477449607392173,0.9410953352240291,0.9422185469292511,50,5,4,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N5_L4_t08,beam_search,293.4059019088745,220.0,11000,308000,6160.0,1.0,1.0,0.8013012645581071,0.9474001388214413,0.94741258623889,50,5,4,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N5_L8_t05,beam_search,193.33905291557312,192.0,9600,240000,4800.0,1.0,1.0,0.8567880618425763,0.9478166707018174,0.9480344141489615,50,5,8,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N5_L8_t08,beam_search,764.2115263938904,184.0,9200,211600,4232.0,1.0,1.0,0.7907518046112135,0.9479453193342439,0.9480344141489615,50,5,8,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N10_L2_t05,beam_search,71.4957857131958,20.0,1000,27500,550.0,1.0,1.0,0.7585335141854229,0.9461477330483667,0.9466786472143095,50,10,2,5,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N10_L2_t08,beam_search,15.789294719696045,16.0,800,18000,360.0,1.0,1.0,0.7798914714785554,0.9452053969503952,0.9465231229390886,50,10,2,5,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N10_L4_t05,beam_search,15.690191745758057,16.0,800,20000,400.0,1.0,1.0,0.778852905482639,0.9461011773827155,0.9461011773827155,50,10,4,10,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N10_L4_t08,beam_search,15.755556583404541,16.0,800,20000,400.0,1.0,1.0,0.7277046642891531,0.9449022729397356,0.9466786472143096,50,10,4,10,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N10_L8_t05,beam_search,21.226999282836914,24.0,1200,26400,528.0,0.64,1.0,0.6768776040242676,0.9467699037942389,0.946769903794239,50,10,8,20,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N10_L8_t08,beam_search,16.721700191497803,16.0,800,24000,480.0,1.0,1.0,0.9365522256760372,0.9476829314642428,0.9479288259675456,50,10,8,20,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N20_L2_t05,beam_search,28.316563367843628,26.4,1320,38280,765.6,0.26,1.0,0.9449111755170616,0.947893550795942,0.947893550795942,50,20,2,5,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N20_L2_t08,beam_search,28.496027946472168,26.4,1320,34320,686.4,0.94,1.0,0.7717639258972555,0.9472207416097759,0.947893550795942,50,20,2,5,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N20_L4_t05,beam_search,29.591787338256836,28.8,1440,40320,806.4,0.22,1.0,0.9395962860531113,0.9475375578237158,0.9475375578237158,50,20,4,10,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N20_L4_t08,beam_search,109.3519537448883,33.6,1680,53760,1075.2,0.22,1.0,0.9293341691239516,0.9471102565389131,0.9471102565389131,50,20,4,10,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N20_L8_t05,beam_search,30.42644500732422,28.8,1440,43200,864.0,0.66,1.0,0.8101533448319183,0.9475355373864044,0.9480344141489615,50,20,8,20,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N20_L8_t08,beam_search,28.785543203353882,28.8,1440,38880,777.6,1.0,1.0,0.7746695643196303,0.9376129801445053,0.9456384990226271,50,20,8,20,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N50_L2_t05,beam_search,39.43107080459595,18.0,900,20700,414.0,0.46,1.0,0.746816606311436,0.8229386618758828,0.8531546470964301,50,50,2,5,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N50_L2_t08,beam_search,18.79348874092102,20.0,1000,23500,470.0,0.86,1.0,0.7646872278462422,0.856802410671458,0.8981654530672417,50,50,2,5,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N50_L4_t05,beam_search,31.536912441253662,24.0,1200,37200,744.0,0.98,1.0,0.8574495178724176,0.9276141598216556,0.9396935493913704,50,50,4,10,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N50_L4_t08,beam_search,19.208395957946777,24.0,1200,31200,624.0,0.08,1.0,0.9479009245045975,0.9479230456305644,0.9479230456305644,50,50,4,10,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N50_L8_t05,beam_search,20.21968150138855,24.0,1200,28800,576.0,0.26,1.0,0.8284617775387313,0.9118674569949395,0.9118674569949395,50,50,8,20,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N50_L8_t08,beam_search,22.204892873764038,24.0,1200,37200,744.0,0.24,1.0,0.9466234771886523,0.9477962897392284,0.9477962897392284,50,50,8,20,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N5_L2_t05,beam_search,19.29742121696472,16.0,800,18000,360.0,1.0,1.0,0.8032850742616924,0.9380976181073392,0.9461011773827155,50,5,2,5,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N5_L2_t08,beam_search,20.29152226448059,16.0,800,18000,360.0,1.0,1.0,0.7803272083115135,0.9344225213223499,0.9403750520160179,50,5,2,5,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N5_L4_t05,beam_search,18.467069387435913,16.0,800,20000,400.0,1.0,1.0,0.7768712278108952,0.9409101748507555,0.9466786472143095,50,5,4,10,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N5_L4_t08,beam_search,97.10903024673462,24.0,1200,36000,720.0,1.0,1.0,0.9126489529131459,0.9434687371548829,0.9460554173924859,50,5,4,10,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B20_N5_L8_t05,beam_search,19.992753744125366,16.0,800,24000,480.0,1.0,1.0,0.6900932310617975,0.9427014662215492,0.9479230456305644,50,5,8,20,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B20_N5_L8_t08,beam_search,18.76576828956604,16.0,800,24000,480.0,1.0,1.0,0.7458214837607148,0.9435835004488944,0.9463566623306205,50,5,8,20,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N10_L2_t05,beam_search,74.0925223827362,58.0,2900,84100,1682.0,0.72,1.0,0.9386614603963763,0.9466523634133127,0.9470390150710852,50,10,2,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N10_L2_t08,beam_search,55.81040048599243,48.0,2400,60000,1200.0,1.0,1.0,0.7170027913998489,0.9441888469408836,0.9473970269670792,50,10,2,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N10_L4_t05,beam_search,44.829249143600464,44.0,2200,52800,1056.0,0.46,1.0,0.7484258254293626,0.9456659257392126,0.9456659257392126,50,10,4,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N10_L4_t08,beam_search,46.57049489021301,48.0,2400,60000,1200.0,0.48,1.0,0.9463754135668042,0.9479639824724517,0.9480344141489615,50,10,4,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N10_L8_t05,beam_search,53.830347776412964,56.0,2800,70000,1400.0,0.56,1.0,0.8099746535941623,0.9480071312404892,0.9480071312404892,50,10,8,8,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N10_L8_t08,beam_search,92.54181218147278,48.0,2400,57600,1152.0,0.38,1.0,0.8619034312765061,0.9479230456305644,0.9479230456305644,50,10,8,8,50,,,,,0.8,0.5,40,0,none,0.0
